ukgridcode,x,y,nox2012
758850,529500,200500,37.91214
758851,530500,200500,38.6325
758852,531500,200500,37.91547
758853,532500,200500,42.50697
759538,527500,199500,27.27668
759539,528500,199500,25.95432
759540,529500,199500,25.52138
759541,530500,199500,24.53443
759542,531500,199500,24.89143
759543,532500,199500,24.95635
759544,533500,199500,26.23152
759545,534500,199500,40.11464
759546,535500,199500,35.93803
759547,536500,199500,46.14834
759548,537500,199500,47.66745
760227,526500,198500,27.24218
760228,527500,198500,26.79736
760229,528500,198500,24.49026
760230,529500,198500,24.17229
760231,530500,198500,25.8157
760232,531500,198500,25.52551
760233,532500,198500,26.36825
760234,533500,198500,27.37091
760235,534500,198500,32.83877
760236,535500,198500,32.68675
760237,536500,198500,33.41661
760238,537500,198500,35.40792
760915,524500,197500,28.13075
760916,525500,197500,26.73161
760917,526500,197500,27.87308
760918,527500,197500,28.17977
760919,528500,197500,25.56651
760920,529500,197500,25.51301
760921,530500,197500,25.6925
760922,531500,197500,28.97173
760923,532500,197500,30.4597
760924,533500,197500,31.01478
760925,534500,197500,35.38694
760926,535500,197500,34.51451
760927,536500,197500,38.86492
760928,537500,197500,30.66791
761602,521500,196500,33.84385
761603,522500,196500,27.86825
761604,523500,196500,31.16686
761605,524500,196500,33.4795
761606,525500,196500,29.82414
761607,526500,196500,33.65686
761608,527500,196500,30.37967
761609,528500,196500,29.17438
761610,529500,196500,28.83846
761611,530500,196500,29.61773
761612,531500,196500,30.53703
761613,532500,196500,35.26764
761614,533500,196500,34.69696
761615,534500,196500,39.11402
761616,535500,196500,37.56539
761617,536500,196500,39.61354
761618,537500,196500,32.27956
762292,521500,195500,31.36295
762293,522500,195500,28.41258
762294,523500,195500,28.62859
762295,524500,195500,28.95825
762296,525500,195500,33.06065
762297,526500,195500,33.42456
762298,527500,195500,32.30212
762299,528500,195500,33.73423
762300,529500,195500,31.47797
762301,530500,195500,30.66968
762302,531500,195500,30.65063
762303,532500,195500,32.56585
762304,533500,195500,33.84862
762305,534500,195500,38.58568
762306,535500,195500,36.43047
762307,536500,195500,37.72192
762308,537500,195500,37.51698
762309,538500,195500,29.64122
762977,516500,194500,34.56782
762980,519500,194500,38.22098
762981,520500,194500,38.76863
762982,521500,194500,31.19974
762983,522500,194500,29.06426
762984,523500,194500,29.23349
762985,524500,194500,29.81065
762986,525500,194500,30.04121
762987,526500,194500,34.59135
762988,527500,194500,33.24048
762989,528500,194500,33.42035
762990,529500,194500,36.24159
762991,530500,194500,32.84886
762992,531500,194500,34.5974
762993,532500,194500,36.44251
762994,533500,194500,39.58041
762995,534500,194500,36.86911
762996,535500,194500,38.77575
762997,536500,194500,33.28075
762998,537500,194500,36.01092
762999,538500,194500,35.09539
763000,539500,194500,32.36864
763014,553500,194500,25.26657
763655,504500,193500,24.87464
763666,515500,193500,28.34962
763667,516500,193500,28.51063
763668,517500,193500,32.01405
763669,518500,193500,31.57561
763670,519500,193500,33.03707
763671,520500,193500,47.23384
763672,521500,193500,36.60846
763673,522500,193500,32.62406
763674,523500,193500,29.4319
763675,524500,193500,29.42956
763676,525500,193500,31.76791
763677,526500,193500,36.59229
763678,527500,193500,37.04723
763679,528500,193500,35.23296
763680,529500,193500,37.61149
763681,530500,193500,38.00904
763682,531500,193500,39.90357
763683,532500,193500,39.18725
763684,533500,193500,38.95642
763685,534500,193500,40.69344
763686,535500,193500,43.7759
763687,536500,193500,37.66757
763688,537500,193500,37.4151
763689,538500,193500,35.81018
763690,539500,193500,33.94587
763691,540500,193500,35.50372
763698,547500,193500,25.17178
763699,548500,193500,23.68896
763700,549500,193500,22.44112
763701,550500,193500,21.96333
763702,551500,193500,21.94533
763703,552500,193500,21.86396
763704,553500,193500,22.66926
763705,554500,193500,24.40331
763706,555500,193500,39.52138
764345,504500,192500,24.83436
764346,505500,192500,22.35667
764354,513500,192500,27.3042
764355,514500,192500,27.54554
764356,515500,192500,27.69264
764357,516500,192500,32.58847
764358,517500,192500,34.00002
764359,518500,192500,35.50781
764360,519500,192500,39.77846
764361,520500,192500,48.76469
764362,521500,192500,49.31451
764363,522500,192500,35.84871
764364,523500,192500,32.45621
764365,524500,192500,31.49381
764366,525500,192500,33.57518
764367,526500,192500,38.18242
764368,527500,192500,37.64399
764369,528500,192500,43.43547
764370,529500,192500,44.32635
764371,530500,192500,45.90345
764372,531500,192500,45.10739
764373,532500,192500,50.45769
764374,533500,192500,47.42507
764375,534500,192500,51.17483
764376,535500,192500,55.91729
764377,536500,192500,46.08369
764378,537500,192500,40.67281
764379,538500,192500,37.39566
764380,539500,192500,36.45647
764381,540500,192500,37.80727
764382,541500,192500,37.78931
764386,545500,192500,30.3415
764387,546500,192500,29.36249
764388,547500,192500,31.35982
764389,548500,192500,25.03813
764390,549500,192500,24.13876
764391,550500,192500,23.85625
764392,551500,192500,23.09737
764393,552500,192500,22.94349
764394,553500,192500,24.96837
764395,554500,192500,25.58468
764396,555500,192500,26.91708
764397,556500,192500,45.67247
765035,504500,191500,23.12506
765036,505500,191500,22.60577
765037,506500,191500,22.77744
765038,507500,191500,24.86306
765039,508500,191500,29.30753
765040,509500,191500,28.01937
765041,510500,191500,26.81547
765042,511500,191500,26.16669
765043,512500,191500,28.88314
765044,513500,191500,31.03909
765045,514500,191500,30.46876
765046,515500,191500,33.44591
765047,516500,191500,31.57438
765048,517500,191500,34.50845
765049,518500,191500,34.1578
765050,519500,191500,40.77763
