ukgridcode,x,y,nox2007
758850,529500,200500,47.69806
758851,530500,200500,49.10479
758852,531500,200500,48.23177
758853,532500,200500,52.97412
759538,527500,199500,31.46276
759539,528500,199500,30.08003
759540,529500,199500,29.79705
759541,530500,199500,29.52961
759542,531500,199500,30.44488
759543,532500,199500,30.78453
759544,533500,199500,32.0805
759545,534500,199500,47.00224
759546,535500,199500,45.53455
759547,536500,199500,59.10243
759548,537500,199500,59.52442
760227,526500,198500,30.92125
760228,527500,198500,30.49549
760229,528500,198500,28.39246
760230,529500,198500,28.21423
760231,530500,198500,29.89309
760232,531500,198500,30.93765
760233,532500,198500,33.58559
760234,533500,198500,34.6135
760235,534500,198500,39.26234
760236,535500,198500,42.86588
760237,536500,198500,45.60706
760238,537500,198500,44.67155
760915,524500,197500,33.01594
760916,525500,197500,32.80878
760917,526500,197500,32.10599
760918,527500,197500,31.86859
760919,528500,197500,29.79342
760920,529500,197500,30.84611
760921,530500,197500,30.9108
760922,531500,197500,36.23903
760923,532500,197500,40.10601
760924,533500,197500,40.49788
760925,534500,197500,42.60851
760926,535500,197500,46.43822
760927,536500,197500,55.24104
760928,537500,197500,41.5049
761602,521500,196500,36.64364
761603,522500,196500,31.63795
761604,523500,196500,36.51643
761605,524500,196500,41.99695
761606,525500,196500,39.13183
761607,526500,196500,40.7188
761608,527500,196500,38.50713
761609,528500,196500,34.80977
761610,529500,196500,34.70375
761611,530500,196500,37.22508
761612,531500,196500,38.98273
761613,532500,196500,43.2886
761614,533500,196500,43.77842
761615,534500,196500,47.6388
761616,535500,196500,50.71529
761617,536500,196500,73.2226
761618,537500,196500,44.73513
762292,521500,195500,35.43158
762293,522500,195500,32.91594
762294,523500,195500,34.92449
762295,524500,195500,36.50605
762296,525500,195500,40.58011
762297,526500,195500,42.87551
762298,527500,195500,42.21191
762299,528500,195500,42.77622
762300,529500,195500,41.69025
762301,530500,195500,40.29544
762302,531500,195500,40.95686
762303,532500,195500,41.93262
762304,533500,195500,44.12844
762305,534500,195500,48.13466
762306,535500,195500,49.1866
762307,536500,195500,55.06057
762308,537500,195500,47.90803
762309,538500,195500,37.42744
762977,516500,194500,37.786
762980,519500,194500,40.79312
762981,520500,194500,41.81776
762982,521500,194500,35.30108
762983,522500,194500,33.60706
762984,523500,194500,33.14331
762985,524500,194500,34.50391
762986,525500,194500,35.90157
762987,526500,194500,42.76231
762988,527500,194500,42.32752
762989,528500,194500,44.78123
762990,529500,194500,46.56317
