ukgridcode,x,y,nox2005
758850,529500,200500,37.07829
758851,530500,200500,36.99453
758852,531500,200500,36.95691
758853,532500,200500,37.40347
759538,527500,199500,40.17741
759539,528500,199500,38.70313
759540,529500,199500,38.55695
759541,530500,199500,38.84579
759542,531500,199500,39.32269
759543,532500,199500,39.90884
759544,533500,199500,42.43106
759545,534500,199500,46.88065
759546,535500,199500,51.70338
759547,536500,199500,51.75218
759548,537500,199500,50.21334
760227,526500,198500,34.01913
760228,527500,198500,30.05096
760229,528500,198500,28.7461
760230,529500,198500,28.27587
760231,530500,198500,29.85047
760232,531500,198500,31.83697
760233,532500,198500,33.16981
760234,533500,198500,37.08306
760235,534500,198500,40.24518
760236,535500,198500,47.4413
760237,536500,198500,48.02379
760238,537500,198500,48.01234
760915,524500,197500,33.53872
760916,525500,197500,35.10298
760917,526500,197500,34.00253
760918,527500,197500,33.17959
760919,528500,197500,31.50322
760920,529500,197500,31.17215
760921,530500,197500,33.48926
760922,531500,197500,36.73601
760923,532500,197500,38.57648
760924,533500,197500,42.45889
760925,534500,197500,43.53368
760926,535500,197500,48.86447
760927,536500,197500,47.05584
760928,537500,197500,40.60543
761602,521500,196500,34.75631
761603,522500,196500,33.75561
761604,523500,196500,35.00294
761605,524500,196500,37.28505
761606,525500,196500,39.45824
761607,526500,196500,38.80537
761608,527500,196500,38.3861
761609,528500,196500,36.53651
761610,529500,196500,35.9403
761611,530500,196500,37.36336
761612,531500,196500,39.98433
761613,532500,196500,41.89013
761614,533500,196500,46.57722
761615,534500,196500,47.55396
761616,535500,196500,54.22672
761617,536500,196500,50.56332
761618,537500,196500,43.50982
762292,521500,195500,35.10509
762293,522500,195500,34.02971
762294,523500,195500,35.68259
762295,524500,195500,37.91937
762296,525500,195500,40.88463
762297,526500,195500,40.99231
762298,527500,195500,41.89735
762299,528500,195500,40.78477
762300,529500,195500,40.26049
762301,530500,195500,40.58156
762302,531500,195500,41.4072
762303,532500,195500,43.49916
762304,533500,195500,48.37451
762305,534500,195500,49.3396
762306,535500,195500,53.16472
762307,536500,195500,47.63392
762308,537500,195500,44.14307
762309,538500,195500,37.88354
762977,516500,194500,40.28079
762980,519500,194500,38.82722
762981,520500,194500,38.82766
762982,521500,194500,36.78544
762983,522500,194500,33.29731
762984,523500,194500,33.49863
762985,524500,194500,35.32476
762986,525500,194500,39.19991
762987,526500,194500,41.5679
762988,527500,194500,43.21739
762989,528500,194500,42.93154
762990,529500,194500,42.57053
762991,530500,194500,43.42628
762992,531500,194500,43.58519
762993,532500,194500,45.4793
762994,533500,194500,47.57631
762995,534500,194500,48.93791
762996,535500,194500,48.93967
762997,536500,194500,45.94339
762998,537500,194500,43.9736
762999,538500,194500,41.90858
763000,539500,194500,40.08449
763014,553500,194500,38.66867
763655,504500,193500,33.07721
763666,515500,193500,35.34142
763667,516500,193500,37.44944
763668,517500,193500,39.02602
763669,518500,193500,40.46619
763670,519500,193500,43.47691
763671,520500,193500,43.91314
763672,521500,193500,41.13501
763673,522500,193500,35.98288
763674,523500,193500,34.44573
763675,524500,193500,35.41379
763676,525500,193500,39.86925
763677,526500,193500,42.73172
763678,527500,193500,45.1699
763679,528500,193500,45.43674
763680,529500,193500,46.34656
763681,530500,193500,48.59112
763682,531500,193500,51.75833
763683,532500,193500,54.28865
763684,533500,193500,55.12418
763685,534500,193500,55.46154
763686,535500,193500,52.46587
763687,536500,193500,50.22353
763688,537500,193500,46.61985
763689,538500,193500,46.2772
763690,539500,193500,44.28945
763691,540500,193500,42.30553
763698,547500,193500,32.21262
763699,548500,193500,30.23028
763700,549500,193500,28.35386
763701,550500,193500,28.69391
763702,551500,193500,28.32565
763703,552500,193500,30.13551
763704,553500,193500,36.23567
763705,554500,193500,41.53845
763706,555500,193500,46.20504
764345,504500,192500,28.28412
764346,505500,192500,26.61147
764354,513500,192500,34.62863
764355,514500,192500,35.2003
764356,515500,192500,36.1975
764357,516500,192500,38.17852
764358,517500,192500,39.27266
764359,518500,192500,42.62211
764360,519500,192500,46.02706
764361,520500,192500,47.73406
764362,521500,192500,44.66486
764363,522500,192500,39.84578
764364,523500,192500,37.29864
764365,524500,192500,38.81034
764366,525500,192500,43.3083
764367,526500,192500,46.49778
764368,527500,192500,48.51059
764369,528500,192500,48.09777
764370,529500,192500,49.49282
764371,530500,192500,50.48522
764372,531500,192500,53.57452
764373,532500,192500,55.79996
764374,533500,192500,57.60664
764375,534500,192500,57.92324
764376,535500,192500,55.56253
764377,536500,192500,53.70186
764378,537500,192500,50.26154
764379,538500,192500,48.45707
764380,539500,192500,46.5365
764381,540500,192500,47.23721
764382,541500,192500,48.16854
764386,545500,192500,37.56307
764387,546500,192500,35.99496
764388,547500,192500,34.04046
764389,548500,192500,32.72671
764390,549500,192500,31.57275
764391,550500,192500,31.86876
764392,551500,192500,30.99852
764393,552500,192500,32.35863
764394,553500,192500,34.84554
764395,554500,192500,41.37564
764396,555500,192500,45.63333
764397,556500,192500,48.08153
765035,504500,191500,26.89573
765036,505500,191500,26.6101
765037,506500,191500,27.28473
765038,507500,191500,28.57647
765039,508500,191500,31.69175
765040,509500,191500,33.91843
765041,510500,191500,35.59221
765042,511500,191500,36.26878
765043,512500,191500,36.68289
765044,513500,191500,37.65688
765045,514500,191500,39.97116
765046,515500,191500,41.43316
765047,516500,191500,42.92704
765048,517500,191500,43.08868
765049,518500,191500,46.08091
765050,519500,191500,47.93627
765051,520500,191500,49.23925
765052,521500,191500,47.09457
765053,522500,191500,43.91494
765054,523500,191500,42.02913
765055,524500,191500,43.6045
765056,525500,191500,47.68293
765057,526500,191500,48.56076
765058,527500,191500,49.63237
765059,528500,191500,49.15941
765060,529500,191500,52.63742
765061,530500,191500,53.67473
765062,531500,191500,57.33273
765063,532500,191500,59.78615
765064,533500,191500,60.94084
765065,534500,191500,59.90618
765066,535500,191500,57.76807
765067,536500,191500,56.82537
765068,537500,191500,55.84628
765069,538500,191500,54.49025
765070,539500,191500,54.05727
765071,540500,191500,55.79256
765072,541500,191500,54.23653
765073,542500,191500,49.48144
765074,543500,191500,44.12475
765075,544500,191500,40.47698
765076,545500,191500,39.29712
765077,546500,191500,36.82003
765078,547500,191500,35.29338
765079,548500,191500,34.77818
765080,549500,191500,35.03004
765081,550500,191500,35.96251
765082,551500,191500,35.01539
765083,552500,191500,37.14162
765084,553500,191500,39.70882
765085,554500,191500,40.97813
765086,555500,191500,41.12838
765087,556500,191500,44.56004
765725,504500,190500,27.07073
765726,505500,190500,26.83334
765727,506500,190500,26.9577
765728,507500,190500,28.07783
