ukgridcode,x,y,nox2004
758850,529500,200500,36.36264
758851,530500,200500,36.25448
758852,531500,200500,36.23398
758853,532500,200500,36.69408
759538,527500,199500,39.12644
759539,528500,199500,37.53322
759540,529500,199500,37.42273
759541,530500,199500,37.78868
759542,531500,199500,38.36944
759543,532500,199500,39.00143
759544,533500,199500,41.3953
759545,534500,199500,44.74084
759546,535500,199500,47.94026
759547,536500,199500,46.48201
759548,537500,199500,44.29859
760227,526500,198500,32.15234
760228,527500,198500,27.9351
760229,528500,198500,26.36967
760230,529500,198500,25.8728
760231,530500,198500,27.53712
760232,531500,198500,29.67265
760233,532500,198500,31.02051
760234,533500,198500,35.09841
760235,534500,198500,38.26605
760236,535500,198500,44.26872
760237,536500,198500,43.43786
760238,537500,198500,42.27867
760915,524500,197500,31.39184
760916,525500,197500,33.3409
760917,526500,197500,32.17959
760918,527500,197500,31.18541
760919,528500,197500,29.04621
760920,529500,197500,28.65932
760921,530500,197500,31.13219
760922,531500,197500,34.66019
760923,532500,197500,36.56388
760924,533500,197500,39.37032
760925,534500,197500,40.22961
760926,535500,197500,46.01355
760927,536500,197500,44.5741
760928,537500,197500,37.89121
761602,521500,196500,32.80527
761603,522500,196500,31.84859
761604,523500,196500,32.83888
761605,524500,196500,34.96831
761606,525500,196500,37.50262
761607,526500,196500,36.78545
761608,527500,196500,36.00985
761609,528500,196500,33.81171
761610,529500,196500,33.20807
761611,530500,196500,34.92744
761612,531500,196500,37.71837
761613,532500,196500,39.65684
761614,533500,196500,42.94848
761615,534500,196500,43.51485
761616,535500,196500,49.72315
761617,536500,196500,46.54107
761618,537500,196500,39.76151
762292,521500,195500,32.93568
762293,522500,195500,31.63283
762294,523500,195500,33.07335
762295,524500,195500,35.21983
762296,525500,195500,38.52235
762297,526500,195500,38.56045
762298,527500,195500,39.03335
762299,528500,195500,37.52707
762300,529500,195500,36.99877
762301,530500,195500,37.71983
762302,531500,195500,38.83229
762303,532500,195500,41.13144
762304,533500,195500,44.50498
762305,534500,195500,45.11982
762306,535500,195500,48.56069
762307,536500,195500,44.03228
762308,537500,195500,40.52689
762309,538500,195500,34.3986
762977,516500,194500,38.47081
762980,519500,194500,37.22749
762981,520500,194500,36.97943
762982,521500,194500,34.59226
762983,522500,194500,30.78557
762984,523500,194500,30.83999
762985,524500,194500,32.57592
762986,525500,194500,36.59559
762987,526500,194500,38.8061
762988,527500,194500,40.09305
762989,528500,194500,39.58966
762990,529500,194500,39.34504
762991,530500,194500,40.69702
762992,531500,194500,41.00734
762993,532500,194500,43.19225
762994,533500,194500,44.83821
762995,534500,194500,45.87075
762996,535500,194500,44.55919
762997,536500,194500,41.56494
762998,537500,194500,39.59418
762999,538500,194500,38.25258
763000,539500,194500,36.44995
763014,553500,194500,35.45506
763655,504500,193500,32.9846
763666,515500,193500,34.38541
763667,516500,193500,36.02506
763668,517500,193500,37.26085
763669,518500,193500,38.43364
763670,519500,193500,41.61974
763671,520500,193500,42.06721
763672,521500,193500,39.05121
763673,522500,193500,33.54106
763674,523500,193500,31.82262
763675,524500,193500,32.6822
763676,525500,193500,37.19265
763677,526500,193500,39.89497
763678,527500,193500,42.10698
763679,528500,193500,42.18397
763680,529500,193500,43.28473
763681,530500,193500,45.93792
763682,531500,193500,48.19912
763683,532500,193500,51.00139
763684,533500,193500,51.68474
763685,534500,193500,51.88308
763686,535500,193500,48.29325
763687,536500,193500,45.81491
763688,537500,193500,43.16998
763689,538500,193500,42.95487
763690,539500,193500,40.89634
763691,540500,193500,38.88922
763698,547500,193500,28.70229
763699,548500,193500,26.75591
763700,549500,193500,25.65484
763701,550500,193500,25.99107
763702,551500,193500,25.59672
763703,552500,193500,27.51457
763704,553500,193500,33.44715
763705,554500,193500,38.57953
763706,555500,193500,43.57979
764345,504500,192500,27.65415
764346,505500,192500,26.39106
764354,513500,192500,33.85892
764355,514500,192500,34.24955
764356,515500,192500,35.03515
764357,516500,192500,36.41909
764358,517500,192500,36.93504
764359,518500,192500,39.8504
764360,519500,192500,43.47921
764361,520500,192500,45.29077
764362,521500,192500,42.24702
764363,522500,192500,37.13049
764364,523500,192500,34.35067
764365,524500,192500,35.87638
764366,525500,192500,40.39068
764367,526500,192500,43.31359
764368,527500,192500,45.04607
764369,528500,192500,44.30402
764370,529500,192500,45.76101
764371,530500,192500,47.03278
764372,531500,192500,49.15693
764373,532500,192500,50.96671
764374,533500,192500,52.04654
764375,534500,192500,52.34692
764376,535500,192500,50.27548
764377,536500,192500,49.05605
764378,537500,192500,46.69763
764379,538500,192500,45.10276
764380,539500,192500,43.03995
764381,540500,192500,43.91892
764382,541500,192500,44.98111
764386,545500,192500,34.18136
764387,546500,192500,32.19313
764388,547500,192500,30.30383
764389,548500,192500,29.13181
764390,549500,192500,28.76531
764391,550500,192500,29.08378
764392,551500,192500,28.27003
764393,552500,192500,30.0524
764394,553500,192500,32.49195
764395,554500,192500,38.75515
764396,555500,192500,43.12527
764397,556500,192500,47.1485
765035,504500,191500,26.21274
765036,505500,191500,25.8417
765037,506500,191500,26.56446
765038,507500,191500,27.75324
765039,508500,191500,30.76339
765040,509500,191500,33.03801
765041,510500,191500,34.82413
765042,511500,191500,35.54104
765043,512500,191500,35.75377
765044,513500,191500,36.62198
765045,514500,191500,38.26506
765046,515500,191500,39.4939
765047,516500,191500,40.33526
765048,517500,191500,40.38976
765049,518500,191500,43.00628
765050,519500,191500,44.89583
765051,520500,191500,46.34917
765052,521500,191500,44.24415
765053,522500,191500,40.93534
765054,523500,191500,38.88931
765055,524500,191500,40.53351
765056,525500,191500,44.48275
765057,526500,191500,45.10014
765058,527500,191500,45.83579
765059,528500,191500,44.9048
765060,529500,191500,47.83595
765061,530500,191500,48.81631
765062,531500,191500,51.43852
765063,532500,191500,53.37975
765064,533500,191500,53.87735
765065,534500,191500,53.19399
765066,535500,191500,51.67577
765067,536500,191500,51.75705
765068,537500,191500,51.67614
765069,538500,191500,51.08029
765070,539500,191500,50.68999
765071,540500,191500,52.95534
765072,541500,191500,51.23062
765073,542500,191500,46.35823
765074,543500,191500,40.92384
